IM0000001, P000001, BANH MI SUA, 3000.0, 70, 37, 19-09-2023, 30-10-2023
IM0000001, P000002, XUC XICH, 13000.0, 50, 30, 19-09-2023, 30-10-2023
IM0000002, P000003, DAU AN, 43000.0, 30, 20, 19-09-2023, 30-09-2024
IM0000002, P000004, SNACK MUC, 11000.0, 150, 150, 19-09-2023, 29-10-2023
IM0000002, P000005, HAO HAO, 3000.0, 150, 140, 19-09-2023, 30-09-2024
IM0000002, P000006, STING, 15000.0, 30, 30, 19-09-2023, 03-11-2023
IM0000003, P000007, THIT BO, 135000.0, 15, 10, 19-09-2023, 30-10-2023
IM0000003, P000008, THIT HEO, 98000.0, 10, 10, 19-09-2023, 30-10-2023
IM0000004, P000009, OMACHI, 8000.0, 60, 40, 19-09-2023, 30-09-2024
IM0000004, P000010, RAU MUONG, 10000.0, 10, 5, 19-09-2023, 25-11-2023
IM0000004, P000011, CA TIM, 5000.0, 5, 3, 19-09-2023, 30-10-2023
IM0000005, P000012, AQUAFINA, 5000.0, 100, 80, 23-09-2023, 23-09-2025
IM0000006, P000013, THIT DA DIEU, 350000.0, 5, 5, 27-09-2023, 02-11-2023
IM0000006, P000014, THIT NGUA, 340000.0, 5, 0, 27-09-2023, 04-11-2023
